description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Arveja VEGA Bolsa 400g,Vega,400.0,g,2.9,vega,2024-12-07 16:16:27.661128,ARVEJA VERDE,1.0,kg,7.25,ARVEJA VERDE
Arveja TIMONEL Bolsa 400gr,Timonel,400.0,g,3.2,vega,2024-12-07 16:16:27.661128,ARVEJA VERDE,1.0,kg,8.0,ARVEJA VERDE
Arveja Verde Tesoro Del Campo Bolsa 500 g,,500.0,g,3.8,metro,2024-12-07 20:34:58.150579,ARVEJA VERDE,1.0,kg,7.6,ARVEJA VERDE
Arveja Verde Partida INCATRAIL Bolsa 500g,,500.0,g,4.29,plaza_vea,2024-12-07 14:04:55.070703,ARVEJA VERDE,1.0,kg,8.58,ARVEJA VERDE
Arveja Verde Partida INCATRAIL Bolsa 500g,INCATRAIL,500.0,g,4.29,vivanda,2024-12-07 14:31:36.387430,ARVEJA VERDE,1.0,kg,8.58,ARVEJA VERDE
Arveja Verde Tesoro Del Campo Bolsa 500 g,,500.0,g,4.3,wong,2024-12-07 17:45:14.011623,ARVEJA VERDE,1.0,kg,8.6,ARVEJA VERDE
Arveja Verde COSTEÑO Bolsa 500g,,500.0,g,4.4,plaza_vea,2024-12-07 14:04:55.070703,ARVEJA VERDE,1.0,kg,8.8,ARVEJA VERDE
Arveja Verde Valle Norte Bolsa 500 g,,500.0,g,4.7,metro,2024-12-07 20:34:58.150579,ARVEJA VERDE,1.0,kg,9.4,ARVEJA VERDE
Arveja Verde Valle Norte Bolsa 500 g,,500.0,g,4.9,wong,2024-12-07 17:45:14.011623,ARVEJA VERDE,1.0,kg,9.8,ARVEJA VERDE
Arveja Verde VALLENORTE Bolsa 500g,,500.0,g,4.9,plaza_vea,2024-12-07 14:04:55.070703,ARVEJA VERDE,1.0,kg,9.8,ARVEJA VERDE
Arveja Verde VALLENORTE Bolsa 500g,VALLENORTE,500.0,g,4.9,vivanda,2024-12-07 14:31:36.387430,ARVEJA VERDE,1.0,kg,9.8,ARVEJA VERDE
Arveja Desvainada 150g,,150.0,g,8.3,metro,2024-12-07 20:34:58.150579,ARVEJA VERDE,1.0,kg,55.33333333333334,ARVEJA VERDE
Arvejas Verdes Fruto de Oro 425g,,425.0,g,8.4,wong,2024-12-07 17:45:14.011623,ARVEJA VERDE,1.0,kg,19.764705882352942,ARVEJA VERDE
Arveja Desvainada 150g,,150.0,g,8.5,wong,2024-12-07 17:45:14.011623,ARVEJA VERDE,1.0,kg,56.66666666666667,ARVEJA VERDE
Arveja x kg,,1.0,kg,10.79,metro,2024-12-07 20:34:58.150579,ARVEJA VERDE,1.0,kg,10.79,ARVEJA VERDE
Arveja x kg,,1.0,kg,10.99,wong,2024-12-07 17:45:14.011623,ARVEJA VERDE,1.0,kg,10.99,ARVEJA VERDE
Arveja x kg,,1.0,kg,10.99,metro,2024-12-07 20:34:58.150579,ARVEJA VERDE,1.0,kg,10.99,ARVEJA VERDE
