unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Presentación 0.5 kg aprox.,Zanahoria,S/ 1.68 x kg,plaza_vea,ZANAHORIA,2024-12-04 14:10:20.562465,0.5,kg,Zanahoria,1.68
Bolsa 500g,Zanahoria Congelada BELL'S Bolsa 500g,S/ 6.90 un,plaza_vea,ZANAHORIA,2024-12-04 14:10:20.562465,500.0,g,Zanahoria Congelada BELL'S Bolsa,6.9
Caja 126g,Galletas de Maíz SALMAS Horneadas con Camote y...,S/ 9.90 un,plaza_vea,ZANAHORIA,2024-12-04 14:10:20.562465,126.0,g,Galletas de Maíz SALMAS Horneadas con Camote y,9.9
Bolsa 250gun,Ensalada Col Zanahoria BELL'S FRESCOS Bolsa 25...,S/ 4.69 un,plaza_vea,ZANAHORIA,2024-12-04 14:10:20.562465,250.0,g,Ensalada Col Zanahoria BELL'S FRESCOS Bolsa 25,4.69
Bolsa 400g,Mix de Arveja y Zanahoria Precocida Congelada ...,S/ 7.90 un,plaza_vea,ZANAHORIA,2024-12-04 14:10:20.562465,400.0,g,Mix de Arveja y Zanahoria Precocida Congelada,7.9
Botella 1L,Jugo Nectar de Naranja Zanahoria ECOFRESH Bote...,S/ 12.50 un,plaza_vea,ZANAHORIA,2024-12-04 14:10:20.562465,1.0,l,Jugo Nectar de Naranja Zanahoria ECOFRESH Bote,12.5
Bolsa 400g,Fideos SANTA CATALINA con Tomate y Zanahoria B...,S/ 5.30 un,plaza_vea,ZANAHORIA,2024-12-04 14:10:20.562465,400.0,g,Fideos SANTA CATALINA con Tomate y Zanahoria B,5.3
Bolsa 7.5Kg,"Comida para Gatos FRISKIES Gatitos Pollo, Lech...",S/ 105.50 un,plaza_vea,ZANAHORIA,2024-12-04 14:10:20.562465,7.5,kg,"Comida para Gatos FRISKIES Gatitos Pollo, Lech",105.5
Caja 50g,Galletas de Arroz BABY MUM sabor Zanahoria Caj...,S/ 13.99 un,plaza_vea,ZANAHORIA,2024-12-04 14:10:20.562465,50.0,g,Galletas de Arroz BABY MUM sabor Zanahoria Caj,13.99
Botella 1L,Jugo de Naranja Zanahoria ECOFRESH Botella 1L,S/ 13.90 un,plaza_vea,ZANAHORIA,2024-12-04 14:10:20.562465,1.0,l,Jugo de Naranja Zanahoria ECOFRESH Botella,13.9
Frasco 420g,Yogurt Griego DANLAC Aguaymanto con Zanahoria ...,S/ 12.10 un,plaza_vea,ZANAHORIA,2024-12-04 14:10:20.562465,420.0,g,Yogurt Griego DANLAC Aguaymanto con Zanahoria,12.1
Lata 360g,Conserva de Zanahoria Rallada BELL'S Lata 360...,S/ 6.50 un,plaza_vea,ZANAHORIA,2024-12-04 14:10:20.562465,360.0,g,Conserva de Zanahoria Rallada BELL'S Lata 360,6.5
Frasco 900g,Yogurt Griego DANLAC Aguaymanto con Zanahoria ...,S/ 19.30 un,plaza_vea,ZANAHORIA,2024-12-04 14:10:20.562465,900.0,g,Yogurt Griego DANLAC Aguaymanto con Zanahoria,19.3
Botella 475ml,Jugo de Naranja Zanahoria ECOFRESH Botella 475...,S/ 7.80 un,plaza_vea,ZANAHORIA,2024-12-04 14:10:20.562465,475.0,ml,Jugo de Naranja Zanahoria ECOFRESH Botella 475,7.8
Frasco 370g,Zanahoria Baby ASPERIO Frasco 370g,S/ 7.40 un,plaza_vea,ZANAHORIA,2024-12-04 14:10:20.562465,370.0,g,Zanahoria Baby ASPERIO Frasco,7.4
Bolsa 1Kg,Alimento Seco para Gatos FRISKIES Gatitos Poll...,S/ 19.90 un,plaza_vea,ZANAHORIA,2024-12-04 14:10:20.562465,1.0,kg,Alimento Seco para Gatos FRISKIES Gatitos Poll,19.9
Botella 400ml,Jugo de Naranja Zanahoria ECOFRESH Botella 400...,S/ 6.59 un,plaza_vea,ZANAHORIA,2024-12-04 14:10:20.562465,400.0,ml,Jugo de Naranja Zanahoria ECOFRESH Botella 400,6.59
